constructorId,year,name_x,positionText,relation
42,1988,Coloni,12,42
6,1988,Ferrari,2,6
18,1988,Minardi,9,18
21,1988,Arrows,5,21
22,1988,Benetton,3,22
45,1988,Osella,15,45
25,1988,Tyrrell,6,25
27,1988,Ligier,14,27
32,1988,Team Lotus,4,32
3,1988,Williams,10,3
35,1988,Dallara,13,35
37,1988,March,8,18
39,1988,AGS,16,39
44,1988,Euro Brun,17,44
33,1988,Larrousse,11,33
45,1988,Osella,13,45
49,1988,Zakspeed,17,49
3,1988,Williams,8,3
6,1988,Ferrari,2,6
48,1988,Rial,7,48
18,1988,Minardi,15,18
21,1988,Arrows,4,21
22,1988,Benetton,5,22
25,1988,Tyrrell,6,25
27,1988,Ligier,11,27
32,1988,Team Lotus,3,32
33,1988,Larrousse,9,33
37,1988,March,7,18
39,1988,AGS,14,39
42,1988,Coloni,10,42
44,1988,Euro Brun,16,44
48,1988,Rial,12,48
1,1988,McLaren,1,1
35,1988,Dallara,18,35
45,1988,Osella,15,45
1,1988,McLaren,1,1
6,1988,Ferrari,2,6
18,1988,Minardi,10,18
21,1988,Arrows,5,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,14,27
3,1988,Williams,6,3
32,1988,Team Lotus,4,32
35,1988,Dallara,12,35
37,1988,March,7,18
39,1988,AGS,16,39
42,1988,Coloni,13,42
1,1988,McLaren,1,1
44,1988,Euro Brun,17,44
33,1988,Larrousse,11,33
49,1988,Zakspeed,18,49
1,1988,McLaren,1,1
48,1988,Rial,7,48
3,1988,Williams,10,3
6,1988,Ferrari,2,6
18,1988,Minardi,9,18
21,1988,Arrows,5,21
22,1988,Benetton,4,22
25,1988,Tyrrell,6,25
49,1988,Zakspeed,18,49
27,1988,Ligier,14,27
33,1988,Larrousse,11,33
35,1988,Dallara,12,35
37,1988,March,8,18
39,1988,AGS,16,39
42,1988,Coloni,13,42
44,1988,Euro Brun,17,44
32,1988,Team Lotus,3,32
49,1988,Zakspeed,16,49
45,1988,Osella,18,45
45,1988,Osella,10,45
49,1988,Zakspeed,16,49
1,1988,McLaren,1,1
3,1988,Williams,10,3
6,1988,Ferrari,2,6
18,1988,Minardi,8,18
21,1988,Arrows,5,21
48,1988,Rial,7,48
22,1988,Benetton,4,22
27,1988,Ligier,6,27
32,1988,Team Lotus,3,32
33,1988,Larrousse,9,33
35,1988,Dallara,16,35
37,1988,March,12,18
39,1988,AGS,7,39
25,1988,Tyrrell,11,25
42,1988,Coloni,14,42
45,1988,Osella,17,45
42,1988,Coloni,11,42
48,1988,Rial,9,48
1,1988,McLaren,1,1
3,1988,Williams,14,3
6,1988,Ferrari,2,6
18,1988,Minardi,9,18
21,1988,Arrows,4,21
44,1988,Euro Brun,13,44
22,1988,Benetton,5,22
27,1988,Ligier,6,27
32,1988,Team Lotus,3,32
33,1988,Larrousse,10,33
35,1988,Dallara,18,35
37,1988,March,15,18
39,1988,AGS,12,39
25,1988,Tyrrell,8,25
44,1988,Euro Brun,15,44
48,1988,Rial,13,48
49,1988,Zakspeed,17,49
3,1988,Williams,7,3
6,1988,Ferrari,2,6
18,1988,Minardi,13,18
21,1988,Arrows,4,21
22,1988,Benetton,5,22
25,1988,Tyrrell,6,25
1,1988,McLaren,1,1
27,1988,Ligier,9,27
33,1988,Larrousse,8,33
35,1988,Dallara,18,35
37,1988,March,12,18
39,1988,AGS,11,39
42,1988,Coloni,15,42
44,1988,Euro Brun,14,44
32,1988,Team Lotus,3,32
49,1988,Zakspeed,16,49
48,1988,Rial,14,48
45,1988,Osella,10,45
1,1988,McLaren,1,1
3,1988,Williams,7,3
6,1988,Ferrari,2,6
18,1988,Minardi,13,18
21,1988,Arrows,4,21
22,1988,Benetton,5,22
25,1988,Tyrrell,6,25
27,1988,Ligier,9,27
32,1988,Team Lotus,3,32
33,1988,Larrousse,8,33
35,1988,Dallara,18,35
37,1988,March,11,18
39,1988,AGS,12,39
42,1988,Coloni,15,42
44,1988,Euro Brun,17,44
48,1988,Rial,17,48
49,1988,Zakspeed,18,49
45,1988,Osella,15,45
3,1988,Williams,6,3
18,1988,Minardi,10,18
21,1988,Arrows,4,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,14,27
32,1988,Team Lotus,6,32
6,1988,Ferrari,2,6
33,1988,Larrousse,11,33
37,1988,March,5,18
39,1988,AGS,15,39
42,1988,Coloni,13,42
44,1988,Euro Brun,17,44
45,1988,Osella,16,45
48,1988,Rial,9,48
35,1988,Dallara,12,35
49,1988,Zakspeed,18,49
3,1988,Williams,7,3
49,1988,Zakspeed,18,49
18,1988,Minardi,10,18
21,1988,Arrows,4,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,14,27
32,1988,Team Lotus,6,32
1,1988,McLaren,1,1
33,1988,Larrousse,11,33
37,1988,March,5,18
39,1988,AGS,15,39
42,1988,Coloni,13,42
44,1988,Euro Brun,17,44
45,1988,Osella,16,45
48,1988,Rial,9,48
35,1988,Dallara,12,35
1,1988,McLaren,1,1
3,1988,Williams,7,3
18,1988,Minardi,10,18
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,15,27
32,1988,Team Lotus,4,32
33,1988,Larrousse,11,33
35,1988,Dallara,12,35
21,1988,Arrows,5,21
37,1988,March,6,18
42,1988,Coloni,14,42
44,1988,Euro Brun,17,44
45,1988,Osella,16,45
48,1988,Rial,9,48
49,1988,Zakspeed,18,49
1,1988,McLaren,1,1
39,1988,AGS,13,39
18,1988,Minardi,10,18
6,1988,Ferrari,2,6
3,1988,Williams,7,3
21,1988,Arrows,4,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,15,27
32,1988,Team Lotus,6,32
33,1988,Larrousse,11,33
35,1988,Dallara,12,35
37,1988,March,5,18
39,1988,AGS,13,39
42,1988,Coloni,14,42
44,1988,Euro Brun,17,44
45,1988,Osella,16,45
48,1988,Rial,9,48
49,1988,Zakspeed,18,49
1,1988,McLaren,1,1
6,1988,Ferrari,2,6
3,1988,Williams,7,3
6,1988,Ferrari,2,6
49,1988,Zakspeed,18,49
6,1988,Ferrari,2,6
18,1988,Minardi,10,18
21,1988,Arrows,5,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
27,1988,Ligier,14,27
3,1988,Williams,7,3
32,1988,Team Lotus,4,32
35,1988,Dallara,12,35
37,1988,March,6,18
39,1988,AGS,16,39
42,1988,Coloni,13,42
44,1988,Euro Brun,17,44
45,1988,Osella,15,45
33,1988,Larrousse,11,33
48,1988,Rial,9,48
49,1988,Zakspeed,18,49
45,1988,Osella,15,45
6,1988,Ferrari,2,6
1,1988,McLaren,1,1
18,1988,Minardi,10,18
21,1988,Arrows,5,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
48,1988,Rial,9,48
27,1988,Ligier,14,27
33,1988,Larrousse,11,33
35,1988,Dallara,12,35
37,1988,March,7,18
39,1988,AGS,16,39
42,1988,Coloni,13,42
44,1988,Euro Brun,17,44
32,1988,Team Lotus,4,32
49,1988,Zakspeed,18,49
1,1988,McLaren,1,1
3,1988,Williams,7,3
6,1988,Ferrari,2,6
18,1988,Minardi,10,18
21,1988,Arrows,4,21
22,1988,Benetton,3,22
25,1988,Tyrrell,8,25
32,1988,Team Lotus,5,32
33,1988,Larrousse,11,33
35,1988,Dallara,12,35
37,1988,March,6,18
39,1988,AGS,16,39
