constructorId,year,name_x,positionText,relation
54,1978,ATS,12,54
56,1978,Fittipaldi,5,56
57,1978,Ensign,16,57
58,1978,Shadow,10,13
55,1978,Theodore,18,55
59,1978,Wolf,7,59
64,1978,Hesketh,19,64
63,1978,Surtees,15,63
65,1978,Martini,13,65
1,1978,McLaren,8,1
1,1978,McLaren,4,1
34,1978,Brabham,4,14
4,1978,Renault,15,4
3,1978,Williams,9,3
60,1978,Merzario,17,60
32,1978,Team Lotus,1,32
59,1978,Wolf,6,59
25,1978,Tyrrell,2,25
34,1978,Brabham,3,14
6,1978,Ferrari,3,6
54,1978,ATS,12,54
55,1978,Theodore,17,55
56,1978,Fittipaldi,5,56
57,1978,Ensign,15,57
58,1978,Shadow,10,13
27,1978,Ligier,6,27
60,1978,Merzario,16,60
65,1978,Martini,19,65
64,1978,Hesketh,18,64
1,1978,McLaren,8,1
3,1978,Williams,9,3
4,1978,Renault,14,4
6,1978,Ferrari,3,6
21,1978,Arrows,11,21
63,1978,Surtees,14,63
21,1978,Arrows,11,21
59,1978,Wolf,8,59
27,1978,Ligier,5,27
56,1978,Fittipaldi,7,56
57,1978,Ensign,16,57
58,1978,Shadow,10,13
60,1978,Merzario,17,60
63,1978,Surtees,13,63
1,1978,McLaren,5,1
3,1978,Williams,10,3
4,1978,Renault,15,4
6,1978,Ferrari,4,6
21,1978,Arrows,7,21
25,1978,Tyrrell,3,25
27,1978,Ligier,6,27
32,1978,Team Lotus,1,32
34,1978,Brabham,2,14
32,1978,Team Lotus,1,32
54,1978,ATS,12,54
34,1978,Brabham,2,14
32,1978,Team Lotus,1,32
27,1978,Ligier,5,27
32,1978,Team Lotus,1,32
34,1978,Brabham,4,14
54,1978,ATS,12,54
55,1978,Theodore,18,55
56,1978,Fittipaldi,7,56
57,1978,Ensign,16,57
58,1978,Shadow,10,13
25,1978,Tyrrell,2,25
59,1978,Wolf,6,59
63,1978,Surtees,13,63
1,1978,McLaren,9,1
3,1978,Williams,11,3
4,1978,Renault,15,4
6,1978,Ferrari,4,6
21,1978,Arrows,6,21
25,1978,Tyrrell,3,25
60,1978,Merzario,17,60
27,1978,Ligier,7,27
32,1978,Team Lotus,1,32
21,1978,Arrows,11,21
25,1978,Tyrrell,5,25
27,1978,Ligier,9,27
34,1978,Brabham,2,14
54,1978,ATS,8,54
55,1978,Theodore,16,55
56,1978,Fittipaldi,4,56
57,1978,Ensign,14,57
58,1978,Shadow,7,13
59,1978,Wolf,10,59
60,1978,Merzario,15,60
63,1978,Surtees,13,63
54,1978,ATS,12,54
64,1978,Hesketh,17,64
1,1978,McLaren,6,1
3,1978,Williams,7,3
21,1978,Arrows,11,21
4,1978,Renault,16,4
6,1978,Ferrari,3,6
1,1978,McLaren,6,1
3,1978,Williams,12,3
6,1978,Ferrari,5,6
25,1978,Tyrrell,3,25
27,1978,Ligier,10,27
32,1978,Team Lotus,1,32
34,1978,Brabham,2,14
54,1978,ATS,8,54
55,1978,Theodore,15,55
56,1978,Fittipaldi,6,56
57,1978,Ensign,13,57
58,1978,Shadow,9,13
59,1978,Wolf,7,59
60,1978,Merzario,14,60
63,1978,Surtees,11,63
64,1978,Hesketh,16,64
3,1978,Williams,12,3
6,1978,Ferrari,4,6
21,1978,Arrows,11,21
25,1978,Tyrrell,3,25
32,1978,Team Lotus,1,32
34,1978,Brabham,4,14
54,1978,ATS,11,54
55,1978,Theodore,17,55
56,1978,Fittipaldi,5,56
57,1978,Ensign,15,57
58,1978,Shadow,9,13
59,1978,Wolf,12,59
60,1978,Merzario,16,60
63,1978,Surtees,13,63
64,1978,Hesketh,18,64
1,1978,McLaren,8,1
3,1978,Williams,9,3
4,1978,Renault,13,4
6,1978,Ferrari,4,6
27,1978,Ligier,6,27
25,1978,Tyrrell,3,25
